《 B-movie
死 I-movie
亡 I-movie
空 I-movie
间 I-movie
： I-movie
浩 I-movie
劫 I-movie
余 I-movie
生 I-movie
》 I-movie
的 O
时 O
空 O
背 O
景 O
设 O
定 O
在 O
2 O
5 O
0 O
9 O
年 O
， O
地 O
球 O
不 O
只 O
与 O
U O
S O
G O
石 O
村 O
号 O
( O
U O
S O
G O
平 B-company
安 I-company
银 I-company
行 I-company
信 I-company
用 I-company
卡 I-company
中 I-company
心 I-company
副 B-position
总 I-position
经 I-position
理 I-position
王 B-name
牧 I-name
天 I-name
表 O
示 O
， O
“ O
目 O
前 O
的 O
经 O
济 O
大 O
环 O
境 O
对 O
信 O
用 O
卡 O
市 O
场 O
是 O
一 O
个 O
很 O
大 O
的 O
挑 O
战 O
。 O
END O
