北 B-company
京 I-company
纯 I-company
真 I-company
年 I-company
代 I-company
文 I-company
化 I-company
传 I-company
媒 I-company
有 I-company
限 I-company
公 I-company
司 I-company
董 B-position
事 I-position
长 I-position
， O
电 B-position
视 I-position
剧 I-position
制 I-position
片 I-position
人 I-position
， O
出 B-position
品 I-position
人 I-position
。 O
电 O
视 O
剧 O
作 O
品 O
： O
（ B-movie
不 I-movie
要 I-movie
和 I-movie
陌 I-movie
生 I-movie
人 I-movie
说 I-movie
话 I-movie
） I-movie
， O
（ B-movie
中 I-movie
国 I-movie
式 I-movie
离 I-movie
婚 I-movie
） I-movie
， O
（ B-movie
新 I-movie
结 I-movie
婚 I-movie
时 I-movie
代 I-movie
） I-movie
， O
（ B-movie
家 I-movie
常 I-movie
菜 I-movie
） I-movie
。 O
， O
著 O
名 O
金 O
牌 O
制 B-position
片 I-position
人 I-position
朱 B-name
质 I-name
冰 I-name
END O
