北 B-company
京 I-company
天 I-company
星 I-company
际 I-company
影 I-company
视 I-company
文 I-company
化 I-company
传 I-company
播 I-company
有 I-company
限 I-company
公 I-company
司 I-company
电 O
话 O
： O
0 B-mobile
1 I-mobile
0 I-mobile
- I-mobile
6 I-mobile
2 I-mobile
1 I-mobile
3 I-mobile
2 I-mobile
8 I-mobile
3 I-mobile
7 I-mobile
. O
传 O
真 O
： O
0 B-mobile
1 I-mobile
0 I-mobile
- I-mobile
5 I-mobile
1 I-mobile
6 I-mobile
2 I-mobile
6 I-mobile
1 I-mobile
5 I-mobile
3 I-mobile
. O
经 O
纪 O
人 O
阮 B-name
： O
1 B-mobile
3 I-mobile
6 I-mobile
2 I-mobile
1 I-mobile
0 I-mobile
7 I-mobile
2 I-mobile
5 I-mobile
1 I-mobile
6 I-mobile
， O
演 B-position
员 I-position
张 B-name
竞 I-name
END O
