《 B-movie
芙 I-movie
蓉 I-movie
镇 I-movie
》 I-movie
到 O
日 O
本 O
上 O
映 O
时 O
， O
日 O
本 O
人 O
说 O
： O
“ O
谢 O
导 B-position
演 I-position
， O
原 O
来 O
是 O
这 O
么 O
可 O
怕 O
的 O
灾 O
难 O
， O
这 O
么 O
小 O
的 O
镇 O
子 O
也 O
发 O
生 O
这 O
么 O
大 O
的 O
悲 O
剧 O
， O
韩 B-company
亚 I-company
银 I-company
行 I-company
前 O
身 O
为 O
1 O
9 O
7 O
1 O
年 O
创 O
立 O
的 O
韩 B-company
国 I-company
投 I-company
资 I-company
金 I-company
融 I-company
公 I-company
司 I-company
， O
于 O
1 O
9 O
9 O
1 O
年 O
转 O
型 O
为 O
韩 B-company
亚 I-company
银 I-company
行 I-company
。 O
END O
