张 B-name
艺 I-name
谋 I-name
开 O
会 O
常 O
常 O
在 O
m B-scene
o I-scene
m I-scene
a I-scene
开 O
会 O
， O
音 B-position
乐 I-position
家 I-position
、 O
艺 B-position
术 I-position
家 I-position
很 O
多 O
， O
主 B-position
考 I-position
官 I-position
： O
你 O
是 O
第 O
一 O
个 O
解 O
说 O
D B-game
o I-game
t I-game
a I-game
的 O
吗 O
？ O
企 O
鹅 O
： O
截 O
至 O
1 O
0 O
月 O
2 O
0 O
日 O
， O
全 O
球 O
金 O
融 O
机 O
构 O
受 O
次 O
贷 O
波 O
及 O
造 O
成 O
的 O
损 O
失 O
已 O
累 O
计 O
达 O
6 O
6 O
1 O
2 O
亿 O
美 O
元 O
。 O
而 O
i B-organization
m I-organization
f I-organization
最 O
新 O
预 O
计 O
， O
把 O
自 O
己 O
融 O
到 O
这 O
片 O
洱 B-scene
海 I-scene
中 O
。 O
END O
