北 B-government
京 I-government
市 I-government
住 I-government
保 I-government
办 I-government
公 O
布 O
2 O
2 O
户 O
0 O
号 O
身 O
份 O
在 O
一 O
些 O
影 O
视 O
作 O
品 O
中 O
扮 O
演 O
角 O
色 O
。 O
1 O
9 O
9 O
7 O
年 O
， O
她 O
在 O
詹 B-name
姆 I-name
斯 I-name
· I-name
卡 I-name
梅 I-name
隆 I-name
执 O
导 O
的 O
《 B-movie
泰 I-movie
坦 I-movie
尼 I-movie
克 I-movie
号 I-movie
》 I-movie
中 O
与 O
凯 B-name
特 I-name
· O
中 B-company
信 I-company
银 I-company
行 I-company
等 O
银 O
行 O
推 O
出 O
了 O
香 B-address
港 I-address
旅 O
游 O
卡 O
。 O
持 O
香 B-address
港 I-address
旅 O
游 O
卡 O
刷 O
卡 O
消 O
费 O
， O
可 O
以 O
在 O
香 B-address
港 I-address
1 O
8 O
0 O
0 O
家 O
特 O
约 O
商 O
户 O
享 O
受 O
优 O
惠 O
折 O
扣 O
。 O
END O
