王 B-name
蓉 I-name
制 B-position
作 I-position
人 I-position
/ O
经 B-position
纪 I-position
人 I-position
十 B-position
大 I-position
音 I-position
乐 I-position
人 I-position
导 O
演 O
词 O
曲 O
作 O
者 O
舞 O
库 O
舞 O
蹈 O
工 O
作 O
室 O
老 O
板 O
。 O
个 O
人 O
简 O
历 O
详 O
见 O
百 O
度 O
百 O
科 O
愿 O
意 O
结 O
交 O
更 O
多 O
有 O
志 O
青 O
年 O
朋 O
友 O
是 O
财 O
富 O
！ O
， O
音 B-position
乐 I-position
人 I-position
、 O
词 B-position
曲 I-position
作 I-position
者 I-position
、 O
M B-position
T I-position
V I-position
导 I-position
演 I-position
END O
