《 B-book
礼 I-book
记 I-book
· I-book
礼 I-book
运 I-book
》 I-book
中 O
说 O
： O
“ O
夫 O
礼 O
之 O
初 O
， O
始 O
诸 O
饮 O
食 O
。 O
” O
中 O
国 O
历 O
史 O
悠 O
久 O
， O
幅 O
员 O
辽 O
阔 O
， O
人 O
口 O
众 O
多 O
， O
林 B-scene
达 I-scene
海 I-scene
渔 I-scene
广 I-scene
场 I-scene
是 O
地 O
标 O
式 O
建 O
筑 O
李 B-address
子 I-address
坝 I-address
轻 I-address
轨 I-address
站 I-address
a I-address
出 I-address
口 I-address
对 O
面 O
就 O
是 O
李 B-scene
子 I-scene
坝 I-scene
抗 I-scene
战 I-scene
遗 I-scene
址 I-scene
公 I-scene
园 I-scene
， O
这 O
里 O
是 O
重 O
庆 O
唯 O
一 O
一 O
个 O
抗 O
战 O
遗 O
址 O
公 O
园 O
， O
不 O
过 O
名 O
气 O
明 O
显 O
大 O
过 O
实 O
力 O
。 O
受 O
注 O
盘 O
拉 B-organization
科 I-organization
鲁 I-organization
让 O
出 O
半 O
/ O
一 O
中 O
水 O
， O
从 O
两 O
队 O
的 O
状 O
态 O
分 O
析 O
， O
拉 B-organization
科 I-organization
鲁 I-organization
最 O
近 O
6 O
场 O
取 O
胜 O
5 O
场 O
， O
更 O
名 O
为 O
“ O
光 B-address
耀 I-address
东 I-address
方 I-address
广 I-address
场 I-address
” O
。 O
END O
