D B-game
O I-game
T I-game
A I-game
2 I-game
负 O
责 O
人 O
收 O
费 O
不 O
公 O
平 O
或 O
免 O
费 O
圣 B-scene
灵 I-scene
群 I-scene
岛 I-scene
被 O
称 O
为 O
大 B-scene
堡 I-scene
礁 I-scene
的 O
精 O
华 O
所 O
在 O
， O
要 O
玩 O
转 O
这 O
几 O
大 O
亮 O
点 O
， O
目 O
睹 O
心 B-scene
形 I-scene
礁 I-scene
的 O
震 O
撼 O
， O
感 O
受 O
白 B-scene
沙 I-scene
滩 I-scene
的 O
浪 O
漫 O
， O
“ O
我 O
也 O
不 O
去 O
碰 O
现 O
任 O
从 O
国 O
家 O
到 O
地 O
方 O
的 O
书 B-position
协 I-position
主 I-position
席 I-position
、 O
美 B-position
协 I-position
主 I-position
席 I-position
、 O
画 B-position
院 I-position
院 I-position
长 I-position
的 O
作 O
品 O
， O
他 O
们 O
是 O
这 O
样 O
的 O
， O
一 O
旦 O
红 O
袍 O
加 O
身 O
， O
张 B-name
照 I-name
新 I-name
认 O
为 O
， O
政 B-government
府 I-government
的 O
政 O
策 O
意 O
图 O
已 O
经 O
有 O
所 O
调 O
整 O
。 O
3 O
7 O
5 O
0 O
元 O
/ O
吨 O
的 O
定 O
价 O
已 O
不 O
能 O
算 O
是 O
严 O
格 O
的 O
“ O
顺 O
价 O
” O
销 O
售 O
。 O
END O
