《 B-book
开 I-book
啦 I-book
街 I-book
拍 I-book
》 I-book
第 O
4 O
期 O
关 O
注 O
奥 O
运 O
赛 O
场 O
上 O
的 O
时 O
尚 O
（ O
图 O
） O
香 B-government
港 I-government
金 I-government
融 I-government
管 I-government
理 I-government
局 I-government
总 B-position
裁 I-position
任 B-name
志 I-name
刚 I-name
昨 O
日 O
再 O
次 O
向 O
媒 O
体 O
表 O
示 O
， O
香 O
港 O
本 O
地 O
银 O
行 O
体 O
系 O
非 O
常 O
稳 O
健 O
， O
储 O
户 O
不 O
必 O
担 O
心 O
， O
张 B-name
捷 I-name
告 O
诉 O
记 B-position
者 I-position
， O
当 O
日 O
， O
他 O
足 O
足 O
研 O
究 O
了 O
一 O
上 O
午 O
， O
准 O
备 O
购 O
买 O
一 O
注 O
体 B-organization
彩 I-organization
“ O
2 O
9 O
选 O
7 O
” O
5 O
胆 O
1 O
3 O
拖 O
号 O
码 O
。 O
END O
