大 B-book
众 I-book
软 I-book
件 I-book
： O
枪 O
枪 O
还 O
有 O
枪 O
废 O
土 O
生 O
存 O
必 O
备 O
品 O
倪 B-name
月 I-name
和 O
汪 B-name
晶 I-name
晶 I-name
都 O
是 O
家 O
庭 O
的 O
财 B-position
务 I-position
主 I-position
管 I-position
， O
她 O
们 O
现 O
在 O
都 O
在 O
担 O
心 O
， O
通 O
胀 O
可 O
能 O
会 O
成 O
为 O
长 O
期 O
化 O
的 O
趋 O
势 O
， O
在 O
通 O
胀 O
演 O
变 O
中 O
， O
胜 O
胆 O
乌 B-organization
迪 I-organization
内 I-organization
斯 I-organization
v O
s O
切 B-organization
沃 I-organization
↓ O
《 B-movie
荒 I-movie
野 I-movie
生 I-movie
存 I-movie
》 I-movie
和 O
《 B-movie
刺 I-movie
杀 I-movie
神 I-movie
枪 I-movie
侠 I-movie
》 I-movie
本 O
周 O
分 O
别 O
增 O
容 O
至 O
6 O
5 O
8 O
家 O
、 O
3 O
0 O
1 O
家 O
电 O
影 O
院 O
， O
单 O
馆 O
平 O
均 O
值 O
分 O
别 O
为 O
3 O
3 O
0 O
0 O
＄ O
、 O
海 O
涛 O
， O
原 O
名 O
周 B-name
凌 I-name
翔 I-name
， O
现 O
任 O
广 B-organization
东 I-organization
省 I-organization
韶 I-organization
关 I-organization
人 I-organization
民 I-organization
广 I-organization
播 I-organization
电 I-organization
台 I-organization
节 B-position
目 I-position
主 I-position
持 I-position
人 I-position
， O
原 O
P O
L O
U O
、 O
而 O
罗 B-organization
甲 I-organization
球 O
队 O
布 B-organization
加 I-organization
勒 I-organization
斯 I-organization
特 I-organization
星 I-organization
状 O
态 O
欠 O
佳 O
， O
在 O
欧 B-organization
冠 I-organization
小 O
组 O
赛 O
开 O
赛 O
之 O
后 O
， O
他 O
们 O
已 O
经 O
各 O
项 O
赛 O
事 O
1 O
1 O
场 O
不 O
胜 O
。 O
END O
