深 B-company
圳 I-company
市 I-company
世 I-company
纪 I-company
领 I-company
军 I-company
影 I-company
业 I-company
投 I-company
资 I-company
有 I-company
限 I-company
公 I-company
司 I-company
董 B-position
事 I-position
长 I-position
。 O
大 O
型 O
古 O
装 O
动 O
作 O
悬 O
疑 O
电 O
影 O
《 B-movie
大 I-movie
唐 I-movie
玄 I-movie
机 I-movie
图 I-movie
》 I-movie
出 O
品 O
人 O
。 O
经 O
纪 O
事 O
务 O
统 O
筹 O
： O
侯 B-name
文 I-name
亭 I-name
' O
电 O
话 O
： O
1 B-mobile
8 I-mobile
0 I-mobile
0 I-mobile
1 I-mobile
2 I-mobile
0 I-mobile
6 I-mobile
6 I-mobile
0 I-mobile
7 I-mobile
， O
演 B-position
员 I-position
， O
代 O
表 O
作 O
《 B-movie
笑 I-movie
傲 I-movie
江 I-movie
湖 I-movie
》 I-movie
《 B-movie
赤 I-movie
裸 I-movie
特 I-movie
工 I-movie
》 I-movie
等 O
， O
澳 B-position
门 I-position
小 I-position
姐 I-position
双 O
料 O
桂 O
冠 O
得 O
主 O
END O
