《 B-game
教 I-game
父 I-game
2 I-game
》 I-game
将 O
继 O
续 O
沿 O
用 O
前 O
作 O
受 O
到 O
欢 O
迎 O
的 O
游 O
戏 O
机 O
制 O
， O
并 O
彻 O
底 O
发 O
挥 O
招 O
牌 O
“ O
黑 O
手 O
” O
操 O
控 O
界 O
面 O
， O
作 O
为 O
国 O
内 O
最 O
大 O
的 O
网 O
上 O
跨 O
行 O
还 O
款 O
平 O
台 O
， O
快 B-company
钱 I-company
公 I-company
司 I-company
也 O
对 O
这 O
一 O
问 O
题 O
给 O
出 O
了 O
明 O
确 O
答 O
复 O
： O
容 O
易 O
接 O
近 O
并 O
攻 O
击 O
敌 O
方 O
大 O
型 O
入 O
侵 O
舰 O
艇 O
。 O
据 O
了 O
解 O
， O
革 B-government
命 I-government
卫 I-government
队 I-government
海 I-government
军 I-government
已 O
开 O
始 O
批 O
量 O
生 O
产 O
这 O
种 O
舰 O
艇 O
。 O
END O
